Date,Time,Latitude,Longitude,EPC,Unit,Type
2015-03-09,23:34:52.517,58.0498,-113.5188,135.3,kA,G
2015-03-09,23:36:15.715,58.0537,-113.451,37.4,kA,C
2015-03-09,23:37:28.710,58.0434,-113.409,20.8,kA,G
2015-03-09,23:39:40.955,58.0381,-113.3576,19.8,kA,C
2015-03-09,23:45:12.593,58.0547,-113.164,101.8,kA,G
2015-03-09,23:46:07.967,58.055,-113.1626,40.9,kA,G
2015-03-09,23:53:22.141,58.025,-113.0807,15.0,kA,G
2015-03-09,23:55:27.660,58.0222,-113.1806,-7.3,kA,G
2015-03-09,23:56:30.590,58.0513,-113.0361,26.0,kA,C
2015-04-11,23:39:32.011,58.3036,-121.3373,-38.7,kA,G
2015-04-11,23:39:32.038,58.3053,-121.3315,-37.7,kA,C
2015-04-11,23:39:32.061,58.3074,-121.3454,-21.2,kA,C
2015-04-11,23:39:32.093,58.3042,-121.3347,-22.4,kA,C
2015-04-11,23:41:44.244,58.3036,-121.3152,-50.7,kA,G
2015-04-11,23:41:44.266,58.2924,-121.3277,-25.2,kA,G
2015-04-11,23:41:44.375,58.2919,-121.3322,-11.1,kA,G
2015-04-11,23:41:44.427,58.2901,-121.332,-22.6,kA,G
2015-04-11,23:42:20.671,61.1326,-121.0707,-38.2,kA,G
2015-04-11,23:42:20.684,61.1411,-121.0759,-21.6,kA,C
2015-04-11,23:42:20.703,61.1407,-121.0744,-33.9,kA,C
2015-04-11,23:45:05.125,58.4337,-121.2972,-21.6,kA,G
2015-04-11,23:47:33.302,58.4401,-121.2633,23.3,kA,C
2015-04-11,23:47:33.303,58.4192,-121.2319,-6.5,kA,G
2015-04-11,23:47:33.726,58.351,-121.2469,-41.3,kA,G
2015-04-11,23:47:33.748,58.3433,-121.2354,-30.7,kA,G
2015-04-11,23:47:33.866,58.3446,-121.2529,-13.9,kA,G
2015-04-12,00:49:07.038,58.1869,-120.5809,-26.9,kA,G
2015-04-12,00:49:07.059,58.1868,-120.5975,-31.9,kA,G
2015-04-12,00:49:07.087,58.1836,-120.6017,-31.8,kA,C
2015-04-12,00:49:07.115,58.184,-120.595,-22.3,kA,G
2015-04-14,21:39:09.332,58.0296,-122.3238,-22.1,kA,G
2015-04-14,21:50:45.652,58.0007,-122.2419,-17.2,kA,C
2015-04-14,23:15:11.883,58.9038,-122.8924,65.0,kA,G
2015-04-14,23:16:28.337,58.936,-123.0069,54.0,kA,G
2015-04-14,23:17:43.678,58.9226,-123.0133,35.3,kA,G
2015-04-14,23:17:43.678,58.9464,-122.9576,-44.7,kA,G
2015-04-14,23:18:58.738,58.9205,-122.9887,21.9,kA,C
2015-04-14,23:20:46.317,58.6563,-123.2055,-24.3,kA,G
2015-04-14,23:21:13.586,58.9085,-122.939,65.4,kA,G
2015-04-14,23:21:13.615,58.9137,-122.9369,35.1,kA,C
2015-04-14,23:24:27.448,58.5961,-123.5807,-68.1,kA,G
2015-04-14,23:24:27.501,58.6322,-123.456,-93.8,kA,G
2015-04-14,23:25:30.406,58.618,-123.5024,-20.8,kA,G
2015-04-14,23:28:32.407,58.6183,-123.4648,-46.3,kA,G
2015-04-14,23:36:51.599,58.882,-122.6662,23.8,kA,C
2015-04-14,23:36:51.599,58.8337,-122.6806,-23.3,kA,G
2015-04-14,23:45:04.733,58.8657,-122.6335,149.5,kA,G
2015-04-14,23:46:57.823,58.8553,-122.6416,91.5,kA,G
2015-04-14,23:55:31.949,58.1436,-121.8526,25.1,kA,C
2015-04-14,23:55:31.949,58.129,-121.8244,-23.4,kA,G
2015-04-15,01:14:59.778,58.4454,-122.9012,23.9,kA,G
2015-04-16,21:05:48.135,58.8676,-113.4704,-59.0,kA,G
2015-04-16,21:05:48.160,58.877,-113.5123,-27.8,kA,G
2015-04-16,21:05:48.192,58.8818,-113.4764,-17.3,kA,G
2015-04-16,21:05:48.207,58.878,-113.5138,-28.4,kA,G
2015-04-16,22:56:58.488,58.5635,-110.1536,-25.2,kA,G
2015-04-16,23:04:53.690,58.6795,-112.7934,-41.4,kA,G
2015-04-16,23:04:53.704,58.6773,-112.7808,-21.4,kA,G
2015-04-16,23:04:53.704,58.6557,-112.8411,24.7,kA,G
2015-04-16,23:04:53.723,58.6697,-112.79,-19.4,kA,G
2015-04-16,23:04:53.761,58.6886,-112.8313,-9.7,kA,G
2015-04-22,03:42:10.983,58.016,-120.2131,-16.8,kA,G
2015-04-22,03:45:26.781,58.0301,-120.2115,27.5,kA,C
2015-04-28,03:36:14.758,61.2962,-114.7372,-43.5,kA,G
2015-04-28,03:36:14.773,61.2977,-114.7456,-14.5,kA,G
2015-04-28,03:36:14.788,61.2957,-114.7463,-17.4,kA,G
2015-04-28,04:18:50.058,61.2753,-114.1929,39.5,kA,G
2015-04-28,22:44:05.144,59.3909,-120.6378,56.6,kA,G
2015-04-28,22:44:05.144,59.3672,-120.6828,-5.9,kA,G
2015-04-28,22:54:55.790,60.3269,-120.9812,-22.8,kA,C
2015-04-28,22:54:55.837,60.0869,-121.6374,23.5,kA,G
2015-04-28,23:32:03.373,60.0644,-120.7638,-50.7,kA,G
2015-04-28,23:32:03.373,60.0624,-120.7812,19.1,kA,C
2015-04-28,23:32:03.382,60.0715,-120.6732,297.6,kA,G
2015-04-28,23:33:27.662,59.1353,-119.694,-30.0,kA,G
2015-04-28,23:37:52.106,59.6673,-122.953,19.5,kA,C
2015-04-28,23:37:52.269,59.612,-122.9893,-26.5,kA,G
2015-04-28,23:38:59.573,59.663,-122.9906,7.9,kA,C
2015-04-28,23:39:57.800,59.6746,-122.9499,-20.8,kA,G
2015-04-28,23:41:17.249,59.1502,-122.5875,-100.8,kA,G
2015-04-28,23:41:55.432,59.6015,-122.9177,-23.7,kA,G
2015-04-28,23:43:58.069,59.7184,-122.909,-154.8,kA,G
2015-04-28,23:43:58.084,59.7118,-122.9132,-58.0,kA,G
2015-04-28,23:43:58.089,59.71,-122.9228,-31.1,kA,C
2015-04-28,23:43:58.165,59.6942,-122.9374,14.1,kA,C
2015-04-28,23:44:10.235,59.2097,-122.5687,-105.0,kA,G
2015-04-28,23:44:10.259,59.2108,-122.5786,-20.1,kA,G
2015-04-28,23:45:41.777,59.1859,-122.5867,-37.1,kA,G
2015-04-28,23:45:41.831,59.1863,-122.617,-25.2,kA,G
2015-04-28,23:45:41.831,59.1864,-122.6364,30.4,kA,G
2015-04-28,23:45:42.139,59.1845,-122.5902,-32.2,kA,G
2015-04-28,23:46:04.896,59.7443,-122.9234,-100.2,kA,G
2015-04-28,23:46:04.921,59.7497,-122.9092,-22.9,kA,G
2015-04-28,23:46:04.932,59.7366,-122.933,-28.3,kA,G
2015-04-28,23:46:05.205,59.7356,-122.9873,-10.6,kA,G
2015-04-28,23:46:05.257,59.7309,-122.9329,-17.8,kA,G
2015-04-28,23:46:05.291,59.7337,-122.9434,-10.5,kA,G
2015-04-28,23:47:17.165,59.2365,-122.5949,-71.5,kA,G
2015-04-28,23:47:17.202,59.2343,-122.5967,-35.1,kA,G
2015-04-28,23:47:17.246,59.2355,-122.5982,-16.5,kA,G
2015-04-28,23:47:59.435,60.0372,-123.0024,-65.8,kA,G
2015-04-28,23:47:59.454,60.0503,-123.01,-22.0,kA,G
2015-04-28,23:47:59.513,60.0465,-123.0159,-11.4,kA,G
2015-04-28,23:47:59.587,60.0506,-123.0332,-10.7,kA,G
2015-04-28,23:47:59.619,60.0456,-123.0157,-18.7,kA,G
2015-04-28,23:48:27.977,59.1727,-122.5467,18.9,kA,C
2015-04-28,23:49:22.468,59.2119,-122.6132,-23.5,kA,G
2015-04-28,23:49:22.795,59.2168,-122.5531,-84.4,kA,G
2015-04-28,23:49:22.840,59.2141,-122.5697,-25.4,kA,G
2015-04-28,23:51:24.313,59.1774,-122.5857,-32.2,kA,G
2015-04-28,23:51:24.314,58.8441,-122.9101,33.5,kA,G
2015-04-28,23:51:24.364,59.1784,-122.5825,-30.7,kA,G
2015-04-28,23:51:24.390,59.1714,-122.6024,-21.3,kA,G
2015-04-28,23:53:45.090,59.1942,-122.5313,-14.3,kA,G
2015-04-28,23:53:45.176,59.1991,-122.5219,-14.2,kA,G
2015-04-28,23:53:48.029,59.0707,-118.7187,65.0,kA,G
2015-04-28,23:53:48.069,59.0602,-118.694,87.2,kA,G
2015-04-28,23:54:27.347,60.0163,-122.9076,-87.7,kA,G
2015-04-28,23:54:27.653,60.0756,-122.9894,15.0,kA,C
2015-04-28,23:54:27.654,60.044,-123.0243,13.3,kA,C
2015-04-28,23:55:16.125,59.2236,-122.5538,17.4,kA,C
2015-04-28,23:55:40.371,59.0956,-118.7307,14.4,kA,C
2015-04-28,23:55:40.371,59.0929,-118.715,11.1,kA,C
2015-04-28,23:55:45.902,60.376,-120.7069,179.9,kA,G
2015-04-28,23:55:45.988,60.354,-120.7418,-13.1,kA,G
2015-04-28,23:56:03.204,60.0459,-122.8977,-66.0,kA,G
2015-04-28,23:56:03.227,60.0511,-122.9018,-24.3,kA,G
2015-04-28,23:56:03.242,60.0336,-122.9189,-18.7,kA,G
2015-04-28,23:57:18.687,60.0489,-122.8867,-49.3,kA,G
2015-04-28,23:57:18.708,60.042,-122.9231,-20.8,kA,G
2015-04-28,23:58:16.279,60.1743,-122.4892,-24.5,kA,G
2015-04-28,23:58:16.279,60.1621,-122.4677,30.0,kA,G
2015-04-29,00:00:23.930,59.4329,-122.5991,-17.1,kA,G
2015-04-29,00:02:40.010,60.4728,-120.6376,37.3,kA,C
2015-04-29,00:02:40.031,60.4618,-120.6196,185.0,kA,G
2015-04-29,00:02:40.105,60.3854,-120.6404,55.1,kA,C
2015-04-29,00:02:43.369,59.17,-118.6251,23.2,kA,C
2015-04-29,00:02:43.476,59.1476,-118.7804,-30.3,kA,G
2015-04-29,00:02:43.697,59.6875,-122.29,-22.8,kA,G
2015-04-29,00:04:48.569,59.3019,-122.5279,9.4,kA,C
2015-04-29,00:04:49.843,60.4455,-120.6793,104.8,kA,G
2015-04-29,00:04:59.140,59.6574,-122.3505,-23.5,kA,G
